                         pairs Df  SumsOfSqs    F.Model         R2 p.value
1         Soil vs Saline Water  1 10.2223018 160.967310 0.34768613  0.0002
2          Soil vs Animal Host  1  5.8044047  74.476603 0.27333210  0.0002
3           Soil vs Human Host  1  4.5726957  66.790915 0.28088085  0.0002
4           Soil vs Wastewater  1  1.1297279  16.123839 0.08179548  0.0002
5             Soil vs Sediment  1  2.7373002  47.789700 0.18395533  0.0002
6           Soil vs Plant Host  1  0.7273300  10.024573 0.05062288  0.0002
7           Soil vs Freshwater  1  0.9400537  15.166693 0.06449337  0.0002
8          Soil vs Groundwater  1  0.8046715  11.814486 0.06797181  0.0002
9  Saline Water vs Animal Host  1  3.3261587  41.470473 0.17611751  0.0002
10  Saline Water vs Human Host  1  3.9032216  55.073940 0.24799821  0.0002
11  Saline Water vs Wastewater  1  1.6816218  23.234737 0.11603750  0.0002
12    Saline Water vs Sediment  1  4.9902389  84.583858 0.28909270  0.0002
13  Saline Water vs Plant Host  1  2.5672416  34.307383 0.15715173  0.0002
14  Saline Water vs Freshwater  1  5.0566298  79.351594 0.26866824  0.0002
15 Saline Water vs Groundwater  1  0.9871264  13.972711 0.08124959  0.0002
16   Animal Host vs Human Host  1  0.7350065   5.724944 0.08330228  0.0002
17   Animal Host vs Wastewater  1  1.4621119  11.776778 0.13891514  0.0002
18     Animal Host vs Sediment  1  4.4868220  54.742003 0.34484889  0.0002
19   Animal Host vs Plant Host  1  1.8418069  14.702845 0.15525241  0.0002
20   Animal Host vs Freshwater  1  4.3691147  48.850385 0.30370077  0.0002
21  Animal Host vs Groundwater  1  1.1856873   8.634978 0.13786192  0.0002
22    Human Host vs Wastewater  1  2.3066103  19.873651 0.30169347  0.0002
23      Human Host vs Sediment  1  4.5619740  73.181884 0.48728836  0.0002
24    Human Host vs Plant Host  1  2.1863214  18.400670 0.25771005  0.0002
25    Human Host vs Freshwater  1  4.0288930  54.418879 0.39032647  0.0002
26   Human Host vs Groundwater  1  1.8016216  13.180159 0.32802655  0.0002
27      Wastewater vs Sediment  1  1.1736970  17.682494 0.16891549  0.0002
28    Wastewater vs Plant Host  1  0.4971621   4.307055 0.06399114  0.0006
29    Wastewater vs Freshwater  1  0.7749136  10.129302 0.09635089  0.0002
30   Wastewater vs Groundwater  1  0.3643340   2.889416 0.07243564  0.0046
31      Sediment vs Plant Host  1  1.6711119  23.330106 0.19884160  0.0002
32      Sediment vs Freshwater  1  2.5644992  48.021764 0.27595264  0.0002
33     Sediment vs Groundwater  1  0.6201044  10.218658 0.13064221  0.0002
34    Plant Host vs Freshwater  1  0.7267604   9.011507 0.08117633  0.0002
35   Plant Host vs Groundwater  1  0.5647081   4.418197 0.09125076  0.0006
36   Freshwater vs Groundwater  1  0.6790349   9.183567 0.10780914  0.0002
     p.adjusted sig
1  0.0002181818  **
2  0.0002181818  **
3  0.0002181818  **
4  0.0002181818  **
5  0.0002181818  **
6  0.0002181818  **
7  0.0002181818  **
8  0.0002181818  **
9  0.0002181818  **
10 0.0002181818  **
11 0.0002181818  **
12 0.0002181818  **
13 0.0002181818  **
14 0.0002181818  **
15 0.0002181818  **
16 0.0002181818  **
17 0.0002181818  **
18 0.0002181818  **
19 0.0002181818  **
20 0.0002181818  **
21 0.0002181818  **
22 0.0002181818  **
23 0.0002181818  **
24 0.0002181818  **
25 0.0002181818  **
26 0.0002181818  **
27 0.0002181818  **
28 0.0006171429  **
29 0.0002181818  **
30 0.0046000000   *
31 0.0002181818  **
32 0.0002181818  **
33 0.0002181818  **
34 0.0002181818  **
35 0.0006171429  **
36 0.0002181818  **
