"","taxon","average","overall","sd","ratio","ava","avb","ord","cusum","p","contribution","comparison_1","comparison_2","microgroup"
"1","Acidobacteriota",0.0173543356993701,0.341005891227764,0.00912124650888693,1.90262763784112,0.15034423047449,0.0298416448299531,2,0.13244177583134,2e-04,0.13244177583134,"Soil","Saline Water","Bonafide"
"2","Actinomycetota",0.045163425803154,0.341005891227764,0.0252582219945344,1.78806828972075,0.533005856065265,0.237101907195073,133,0.237058242327783,2e-04,0.104616466496443,"Soil","Saline Water","Bonafide"
"3","Aquificota",0.00094519977380971,0.341005891227764,0.00058362134639641,1.61954284168301,0.00728342980285069,0.0129657111122757,7,0.334102321454374,2e-04,0.0970440791265909,"Soil","Saline Water","Bonafide"
"4","Armatimonadota",0.00193928521381881,0.341005891227764,0.00093921519445244,2.06479327131137,0.0248537495301116,0.0120283372014688,152,0.393898880526713,2e-04,0.0597965590723385,"Soil","Saline Water","Bonafide"
"5","Bacteroidota",0.0330926026909408,0.341005891227764,0.0189247071505916,1.74864543094958,0.211014592392491,0.350615445912438,146,0.512447206496503,2e-04,0.0331391115972772,"Soil","Saline Water","Bonafide"
"6","Bdellovibrionota",0.00246271950910201,0.341005891227764,0.0018061420861947,1.36352479017342,0.0200780047617584,0.0353597684073207,12,0.564486726523512,2e-04,0.0229692453329343,"Soil","Saline Water","Bonafide"
"7","Caldisericota",0.00043410933328937,0.341005891227764,0.00043409452182708,1.00003412036214,0.00240866204498398,0.00467988712031326,138,0.583294087946596,2e-04,0.0188073614230841,"Soil","Saline Water","Bonafide"
"8","Campylobacterota",0.00783264797558643,0.341005891227764,0.00533296604378514,1.46872264163661,0.0248179412272664,0.0786519396008919,130,0.61949980904643,2e-04,0.0179522484058934,"Soil","Saline Water","Bonafide"
"9","Ca. division CPR3",0.00028118518730625,0.341005891227764,0.00020469237825704,1.37369642045562,0.00122687110030278,0.00252752502477707,155,0.66761242458894,2e-04,0.0154967278651927,"Soil","Saline Water","CPR"
"10","Ca. division NC10",0.00172702978676273,0.341005891227764,0.00080970164302071,2.13292118356063,0.0177692360204378,0.00594724851281136,135,0.68208982116207,2e-04,0.01447739657313,"Soil","Saline Water","CPR"
"11","Ca. Altiarchaeota",0.00040016466804689,0.341005891227764,0.00035002373900679,1.14325008121559,0.0008376267590529,0.00321853043053035,9,0.761460161623993,2e-04,0.00722192657796972,"Soil","Saline Water","DPANN"
"12","Ca. Aminicenantes",0.00208114989645252,0.341005891227764,0.00119779089459555,1.73749016280112,0.0223478309924648,0.00811130258658651,26,0.774215221792176,0.0076,0.00610297343825794,"Soil","Saline Water","CPR"
"13","Ca. Berkelbacteria",0.00077142500810557,0.341005891227764,0.00053723144006304,1.4359267730404,0.00669662728166325,0.0106406156495467,16,0.801080754583116,2e-04,0.00506451598400459,"Soil","Saline Water","CPR"
"14","Ca. Bipolaricaulota",0.00053711523564891,0.341005891227764,0.00031947542476558,1.68124116602405,0.00509665104288918,0.00159044131289881,91,0.805049697085037,2e-04,0.00396894250192192,"Soil","Saline Water","CPR"
"15","Ca. Calescamantes",0.00032987303521425,0.341005891227764,0.00024390031730444,1.35249120976951,0.00094361882737521,0.00263843107704905,134,0.823333285197208,2e-04,0.00346583576878601,"Soil","Saline Water","CPR"
"16","Ca. Campbellbacteria",0.00064934893484718,0.341005891227764,0.00038318408888864,1.69461351260829,0.00332410380086241,0.00723620234107919,144,0.826711100569727,2e-04,0.00337781537251935,"Soil","Saline Water","CPR"
"17","Ca. Coatesbacteria",0.00061138016094401,0.341005891227764,0.00034435976613894,1.77541112830622,0.00598771924669736,0.00202978726705437,111,0.836510650251593,4e-04,0.00317921983353631,"Soil","Saline Water","CPR"
"18","Ca. Curtissbacteria",0.00070988508002014,0.341005891227764,0.00041548124285276,1.70858514609696,0.00551873609922532,0.00957782788113245,89,0.845636711200593,2e-04,0.00297081491110773,"Soil","Saline Water","CPR"
"19","Ca. Diapherotrites",0.00051469945304387,0.341005891227764,0.00034080728739888,1.51023605443465,0.00148369078468019,0.00471540665606695,75,0.859413604354846,2e-04,0.00258539026007099,"Soil","Saline Water","DPANN"
"20","Ca. Eisenbacteria",0.00178089140362672,0.341005891227764,0.00116501010750012,1.52864888653039,0.0171095079257089,0.00487872750733642,87,0.866883249034204,2e-04,0.00241482113194313,"Soil","Saline Water","CPR"
"21","Ca. Fraserbacteria",0.00044925874168697,0.341005891227764,0.00032067245899643,1.4009894803344,0.00427221985002287,0.00142117669428795,53,0.876042811442826,2e-04,0.00223996161299667,"Soil","Saline Water","CPR"
"22","Ca. Glassbacteria",0.00078674376978812,0.341005891227764,0.00041584254605298,1.89192707012686,0.00856160260535051,0.00324623900672107,69,0.880460183569557,2e-04,0.00217811771355902,"Soil","Saline Water","CPR"
"23","Ca. Gribaldobacteria",0.00040100482773756,0.341005891227764,0.00036946859182626,1.08535566110077,0.00218413342669531,0.00398964755217511,103,0.88685746581422,2e-04,0.00210748868352317,"Soil","Saline Water","CPR"
"24","Ca. Handelsmanbacteria",0.00127533599640156,0.341005891227764,0.00060241839748123,2.11702697283791,0.0137988873556288,0.0051148761924649,59,0.88894536748829,2e-04,0.00208790167407025,"Soil","Saline Water","CPR"
"25","Ca. Heimdallarchaeota",0.00086857259416097,0.341005891227764,0.00073277358483856,1.18532192225832,0.00254577563387532,0.00803411398879707,121,0.893098601322449,2e-04,0.00207149537074314,"Soil","Saline Water","CPR"
"26","Ca. Korarchaeota",0.00015695807385271,0.341005891227764,0.00016894909973452,0.929025807768979,0.00083023083262893,0.00073806788232264,106,0.908165020809644,0.0038,0.00177551832872269,"Soil","Saline Water","CPR"
"27","Ca. Lindowbacteria",0.00088163330980706,0.341005891227764,0.00043872165309787,2.00955048282144,0.00959315462254298,0.00358084933571252,92,0.913338600276667,2e-04,0.00168444413613422,"Soil","Saline Water","CPR"
"28","Ca. Margulisbacteria",0.0006573950017601,0.341005891227764,0.00072200705838309,0.910510491728858,0.00334380240059386,0.00747269353153238,19,0.921074686574989,2e-04,0.00148202113953777,"Soil","Saline Water","CPR"
