category,taxon,microgroup,mean_contribution,sd_contribution
Animal Host,Ca. Veblenbacteria,CPR,0.00136077065313545,0
Animal Host,Ca. Huberarchaea,DPANN,0.002739689765622555,4.258365415822481e-4
Animal Host,Ca. Brennerbacteria,CPR,0.004248141500306307,2.1683410399131128e-4
Animal Host,Ca. Aenigmarchaeota,DPANN,0.008249661863154789,0.0011948465718248909
Animal Host,Ca. Odinarchaeota,CPR,0.001571835439897475,0
Animal Host,Ca. Calescamantes,CPR,0.00337778371839914,0
Animal Host,Ca. Jacksonbacteria,CPR,0.00298275779823221,0
Animal Host,Ca. Altiarchaeota,DPANN,0.00609376237540515,0
Animal Host,Ca. division CPR1,CPR,0.01370986023885265,0.0022750660168058007
Animal Host,Ca. division CPR3,CPR,0.010445358227218414,0.0020151335691928995
Animal Host,Ca. Microgenomates,CPR,0.0019527463512334351,0
Animal Host,Ca. division WOR-3,CPR,0.0118257951547885,0
Animal Host,Ca. Abawacabacteria,CPR,0.008219491534043775,0
Animal Host,Ca. division CPR2,CPR,0.011703712940320899,0.0019934774948027565
Animal Host,Ca. Parcubacteria,CPR,0.00135229120222613,0
Animal Host,Nanoarchaeota,DPANN,7.23308869067235e-4,0
Animal Host,Ca. Ratteibacteria,CPR,0.00175077364737458,2.1511656122129682e-4
Animal Host,Ca. Gribaldobacteria,CPR,0.002672846741230415,0
Animal Host,Ca. Wirthbacteria,CPR,0.00114832555153399,0
Animal Host,Ca. Hydrogenedentes,CPR,0.00219624441557394,6.018856920767764e-4
Animal Host,Ca. Tagabacteria,CPR,0.00131854378836227,2.5008125062555154e-4
Animal Host,Ca. Niyogibacteria,CPR,0.002073628377132375,4.061211695879834e-4
Animal Host,Ca. Blackburnbacteria,CPR,0.004608641273803504,7.704215322677053e-4
Animal Host,Ca. Delongbacteria,CPR,0.00423400059090695,0
Animal Host,Ca. Andersenbacteria,CPR,0.005669543583099125,3.5807268363181264e-4
Animal Host,Ca. Diapherotrites,DPANN,0.00338397685086733,0
Animal Host,Ca. Spechtbacteria,CPR,0.0013359811626037499,5.4475796078665597e-5
Animal Host,Ca. Fraserbacteria,CPR,0.0024897481810969803,0
Animal Host,Caldisericota,Bonafide,0.0155515364937238,0
Animal Host,Ca. Colwellbacteria,CPR,0.00359619823951496,7.638502247463307e-5
Animal Host,Ca. Fischerbacteria,CPR,0.00325071968523527,0
Animal Host,Ca. Sumerlaeota,CPR,0.0011267525739481455,1.3341783881341325e-4
Animal Host,Ca. Terrybacteria,CPR,0.001388429597066585,1.0893655516306415e-4
Animal Host,Ca. Gracilibacteria,CPR,0.00217857215258854,0
Animal Host,Ca. Chisholmbacteria,CPR,0.00470047738730728,0
Animal Host,Ca. Blackallbacteria,CPR,0.00463962237385651,0
Animal Host,Ca. Wallbacteria,CPR,0.0012357250959371098,8.872997311786162e-5
Animal Host,Dictyoglomota,Bonafide,9.3158029780415e-4,0
Animal Host,Ca. Wildermuthbacteria,CPR,0.001222846511770845,9.619491973112619e-5
Animal Host,Ca. Kuenenbacteria,CPR,0.002496821705105125,4.513766098308168e-4
Animal Host,Ca. Amesbacteria,CPR,0.00694754169299435,0.0010771188216520326
Animal Host,Ca. Lokiarchaeota,CPR,0.00203947670262006,0
Animal Host,Ca. Vogelbacteria,CPR,0.0011924638383227749,1.9766013820143524e-4
Animal Host,Ca. Bipolaricaulota,CPR,0.004889963184158437,3.509945930744763e-4
Animal Host,Ca. Raymondbacteria,CPR,0.00171585388197648,1.7726173813020226e-4
Animal Host,Ca. Woykebacteria,CPR,0.0010631098926048026,5.227996365092458e-5
Animal Host,Ca. Ryanbacteria,CPR,0.001622024636445675,1.1019974683431517e-4
Animal Host,Balneolota,Bonafide,0.023821306818114077,0.004377063014376352
Animal Host,Ca. Adlerbacteria,CPR,0.008469789330272145,0.0010929558749481676
Animal Host,Ca. Margulisbacteria,CPR,0.00157049415602106,0
Animal Host,Ca. Azambacteria,CPR,0.0061951326658035155,1.422731389272372e-4
Animal Host,Ca. Campbellbacteria,CPR,0.00400934870396524,0
Animal Host,Ca. Firestonebacteria,CPR,0.00310248352049991,8.991276182133798e-4
Animal Host,Ca. Heimdallarchaeota,CPR,0.00202160366114723,0
Animal Host,Ca. Beckwithbacteria,CPR,0.005226919993856575,1.602881904733688e-4
Animal Host,Ca. Dadabacteria,CPR,0.0034687901598545734,9.431896212432485e-4
Animal Host,Ca. Harrisonbacteria,CPR,0.00242793801136512,3.764114515776526e-4
Animal Host,Ca. Liptonbacteria,CPR,0.0021468896114924534,5.70992275718853e-4
Animal Host,Ca. Jorgensenbacteria,CPR,0.002668556062161485,4.223504360647994e-4
Animal Host,Ca. Collierbacteria,CPR,0.00445030028659821,0
Animal Host,Ca. Kerfeldbacteria,CPR,0.002154415151138925,4.064256301296343e-4
Animal Host,Chrysiogenota,Bonafide,8.7846295042681e-4,1.27205687732586e-4
Animal Host,Ca. Komeilibacteria,CPR,0.00255910413276128,4.0160598774222674e-4
Animal Host,Ca. Yonathbacteria,CPR,0.00109696007904259,0
Animal Host,Ca. Riflebacteria,CPR,0.00171516828557411,1.766465571161409e-4
Animal Host,Ca. Absconditabacteria,CPR,0.00695445415250806,7.484557849660559e-5
Animal Host,Ca. Sungbacteria,CPR,0.001453531648942965,9.445117917389254e-5
Animal Host,Ca. Portnoybacteria,CPR,0.00178455216720103,2.0065267212358804e-4
Animal Host,Ca. Thorarchaeota,CPR,0.00124528458186579,0
Animal Host,Ca. Giovannonibacteria,CPR,0.00326464282121897,5.875430925208669e-4
Animal Host,Ca. Desantisbacteria,CPR,0.003267405873954965,4.8247014506924447e-4
Animal Host,Ca. Edwardsbacteria,CPR,0.0036799548045466897,3.3530948675653975e-4
Animal Host,Ca. Lloydbacteria,CPR,0.0016917641169778125,3.9455486669252344e-4
Animal Host,Ca. Shapirobacteria,CPR,0.00157288698570923,0
Animal Host,Ca. Pacebacteria,CPR,0.0015971327892485001,1.962734951218008e-4
Animal Host,Ca. Lindowbacteria,CPR,0.0015304417764745067,4.461444102874431e-4
Animal Host,Ca. Curtissbacteria,CPR,0.00328897890013455,8.43612104627301e-4
Animal Host,Ca. Wolfebacteria,CPR,0.00109257689091713,4.814398995940167e-5
Animal Host,Ca. Coatesbacteria,CPR,0.0043724349323877,0
Animal Host,Ca. Doudnabacteria,CPR,0.0029945780761355973,4.2981122688708133e-4
Animal Host,Ca. Schekmanbacteria,CPR,0.0015369711278714298,5.9905816415787795e-5
Animal Host,Ca. Zambryskibacteria,CPR,0.00104355347703472,1.352845666682469e-5
Animal Host,Ca. Berkelbacteria,CPR,0.005074952558214605,0
Animal Host,Calditrichota,Bonafide,0.0184942533758694,0
Animal Host,Ca. Staskawiczbacteria,CPR,0.00153868166156401,0
Animal Host,Ca. Glassbacteria,CPR,0.0025393471006664174,5.632455183323762e-4
Animal Host,Ca. Bathyarchaeota,CPR,0.00624993723315093,0
Animal Host,Ca. Woesearchaeota,DPANN,0.001194239566539465,9.214815348432503e-5
Animal Host,Ca. Buchananbacteria,CPR,0.004547705304568123,5.822066975605661e-4
Animal Host,Ca. Thermoplasmatota,CPR,0.0010814140813673943,1.7224459902895686e-4
Animal Host,Aquificota,Bonafide,0.110250742652242,0
Animal Host,Ca. Taylorbacteria,CPR,0.0013060267184002452,2.4627178284603886e-4
Animal Host,Ca. Yanofskybacteria,CPR,0.001072228503928685,4.653601906058341e-5
Animal Host,Ca. Tectomicrobia,CPR,0.00103390065484173,2.1862898857583305e-4
Animal Host,Ca. Nealsonbacteria,CPR,0.00237924467522976,0
Animal Host,Ca. division Zixibacteria,CPR,0.010180765717635525,7.739811411222925e-4
Animal Host,Ca. Daviesbacteria,CPR,0.0036375926012765553,8.650018251735606e-4
Animal Host,Ca. Gottesmanbacteria,CPR,0.002758947985996407,5.786119706015014e-4
Animal Host,Ca. Melainabacteria,CPR,0.00201563373507052,0
Animal Host,Ca. division WWE3,CPR,0.008586233971115693,0.0019586605236732364
Animal Host,Ca. Levybacteria,CPR,0.0019499920248478024,8.289705153857273e-4
Animal Host,Kiritimatiellota,Bonafide,7.7719869055625e-4,0
Animal Host,Ca. Micrarchaeota,DPANN,0.0017850089474682476,2.740219966834391e-4
Animal Host,Ca. Handelsmanbacteria,CPR,0.0023130965531523153,4.208360264384653e-4
Animal Host,Nitrospinota,Bonafide,6.11583362342625e-4,3.1149211380132645e-5
Animal Host,Ca. Moranbacteria,CPR,0.0018882291399754366,5.077198657374362e-4
Animal Host,Ca. Woesebacteria,CPR,0.0010831283858671599,1.401072007405532e-4
Animal Host,Ca. Roizmanbacteria,CPR,0.0013527660523882101,3.125564808544233e-4
Animal Host,Ca. Falkowbacteria,CPR,0.0035760863470905603,3.4446290951309854e-4
Animal Host,Ca. Eisenbacteria,CPR,0.002439389953291955,9.715179059170919e-4
Animal Host,Ca. Marinimicrobia,CPR,0.00154238337125956,0
Animal Host,Ca. Uhrbacteria,CPR,0.00132827447789069,1.3837245856807435e-4
Animal Host,Ca. Nomurabacteria,CPR,0.00205177157687414,4.0567715375982503e-4
Animal Host,Coprothermobacterota,Bonafide,7.6691129038108e-4,0
Animal Host,Ca. Kaiserbacteria,CPR,0.00263348018613058,4.535877907554875e-4
Animal Host,Fibrobacterota,Bonafide,7.511421162347692e-4,1.4227861347840945e-4
Animal Host,Ca. Magasanikbacteria,CPR,0.002124357082296415,0
Animal Host,Ca. Peregrinibacteria,CPR,0.0015733589167818975,2.10857720271629e-4
Animal Host,Ca. division NC10,CPR,0.012469063204491784,0.0010804079165553356
Animal Host,Chlamydiota,Bonafide,9.50401187168825e-4,0
Animal Host,Atribacterota,Bonafide,0.0406498286409388,0.0024192569415894113
Animal Host,Thermoproteota,Bonafide,3.090933958360717e-4,6.6120250911212e-5
Animal Host,Chlorobiota,Bonafide,8.142897071312434e-4,1.0847465802119028e-4
Animal Host,Ca. Cloacimonetes,CPR,0.00316048749473963,0
Animal Host,Armatimonadota,Bonafide,0.09224260392111558,0.03679365514416002
Animal Host,Lentisphaerota,Bonafide,6.298959671551384e-4,9.185077627584173e-5
Animal Host,Bdellovibrionota,Bonafide,0.02149615567263475,0
Animal Host,Ca. Saccharibacteria,CPR,0.001243988975272,0
Animal Host,Ca. Aminicenantes,CPR,0.00718524214659488,0
Animal Host,Thermomicrobiota,Bonafide,2.7803760146138e-4,0
Animal Host,Deferribacterota,Bonafide,8.174675112494884e-4,1.4876825943455015e-4
Animal Host,Ignavibacteriota,Bonafide,7.5142576115211e-4,1.1821318746671385e-4
Animal Host,Ca. Omnitrophica,CPR,0.0018551544635228,2.0025957478535616e-4
Animal Host,Synergistota,Bonafide,3.3190122958848e-4,3.122143625490945e-5
Animal Host,Elusimicrobiota,Bonafide,7.71633057806025e-4,3.4348853168178874e-6
Animal Host,Mycoplasmatota,Bonafide,6.37999211750612e-4,1.217440841048017e-4
Animal Host,Ca. Rokubacteria,CPR,0.00114322056131405,0
Animal Host,Gemmatimonadota,Bonafide,6.62003023878805e-4,1.398523907973454e-4
Animal Host,Deinococcota,Bonafide,6.9015528875848e-4,0
Animal Host,Nitrososphaerota,Bonafide,6.2948454663447e-4,0
Animal Host,Nitrospirota,Bonafide,5.2164149979397e-4,8.763144281235342e-5
Animal Host,Thermotogota,Bonafide,2.4082351323451e-4,0
Animal Host,Fusobacteriota,Bonafide,7.0162480604035e-4,4.059557121507364e-5
Animal Host,Spirochaetota,Bonafide,4.481011023354575e-4,1.0273708566599793e-4
Animal Host,Chloroflexota,Bonafide,7.712756777797499e-4,1.5802012882557676e-4
Animal Host,Verrucomicrobiota,Bonafide,2.14282701572525e-4,1.7675979814019903e-5
Animal Host,Campylobacterota,Bonafide,0.015640756474647126,0.0012514417735857188
Animal Host,Myxococcota,Bonafide,5.753748055543216e-4,1.059926824494977e-4
Animal Host,Acidobacteriota,Bonafide,0.144974175981298,0
Animal Host,Euryarchaeota,Bonafide,6.5721117673389e-4,8.840717740600748e-5
Animal Host,Planctomycetota,Bonafide,4.5409391175835667e-4,8.479858971776038e-5
Animal Host,Thermodesulfobacteriota,Bonafide,4.0707546993728496e-4,1.3087264510023278e-4
Animal Host,Cyanobacteriota,Bonafide,9.5779278499841e-4,0
Animal Host,Bacteroidota,Bonafide,0.025173308352023593,0.006740695368887294
Animal Host,Bacillota,Bonafide,0.02804665282790368,0.006185155068770281
Animal Host,Actinomycetota,Bonafide,0.112381106382076,0.003049621391672247
Animal Host,Pseudomonadota,Bonafide,4.7839713535884087e-4,1.0400726855895715e-4
Freshwater,Ca. Veblenbacteria,CPR,0.00150817272619808,0
Freshwater,Ca. Huberarchaea,DPANN,0.00347926454521469,0
Freshwater,Ca. Nanohaloarchaeota,DPANN,0.00156722104078122,0
Freshwater,Ca. Brennerbacteria,CPR,0.00639227933600506,0
Freshwater,Ca. Aenigmarchaeota,DPANN,0.008895466260679665,0
Freshwater,Ca. Odinarchaeota,CPR,0.00238726412969792,0
Freshwater,Ca. Calescamantes,CPR,0.0039177395971447,0
Freshwater,Ca. Jacksonbacteria,CPR,0.002844759269812705,0
Freshwater,Ca. Altiarchaeota,DPANN,0.00680033388115253,0
Freshwater,Ca. division CPR1,CPR,0.01748254694633625,0
Freshwater,Ca. division CPR3,CPR,0.0152375170328097,0
Freshwater,Ca. Microgenomates,CPR,0.00254481716810906,0
Freshwater,Ca. division WOR-3,CPR,0.0148153977642074,0
Freshwater,Ca. Abawacabacteria,CPR,0.0101305445011198,0
Freshwater,Ca. division CPR2,CPR,0.015960841638252725,4.452629358154717e-4
Freshwater,Ca. Parcubacteria,CPR,0.00140324480787057,0
Freshwater,Nanoarchaeota,DPANN,8.4124048506134e-4,0
Freshwater,Ca. Ratteibacteria,CPR,0.00219385752612239,0
Freshwater,Ca. Gribaldobacteria,CPR,0.003121460061100755,0
Freshwater,Ca. Hydrogenedentes,CPR,0.00340281052487268,0
Freshwater,Ca. Tagabacteria,CPR,0.001810330891667935,0
Freshwater,Ca. Niyogibacteria,CPR,0.00245309411521316,0
Freshwater,Ca. Blackburnbacteria,CPR,0.00645197907328288,0
Freshwater,Ca. Delongbacteria,CPR,0.00489794010282307,0
Freshwater,Ca. Andersenbacteria,CPR,0.007564119404365745,0
Freshwater,Ca. Diapherotrites,DPANN,0.003834728734104455,0
Freshwater,Ca. Spechtbacteria,CPR,0.0017451918449037675,5.383354958024364e-4
Freshwater,Caldisericota,Bonafide,0.0252538179676393,0
Freshwater,Ca. Colwellbacteria,CPR,0.004657292192219943,0.0013637299376187207
Freshwater,Ca. Fischerbacteria,CPR,0.00404657449745305,0
Freshwater,Ca. Sumerlaeota,CPR,8.7802697415151e-4,8.347871279604833e-5
Freshwater,Ca. Terrybacteria,CPR,0.00163239034611229,0
Freshwater,Ca. Gracilibacteria,CPR,0.00224862915346924,0
Freshwater,Ca. Chisholmbacteria,CPR,0.00580192371605415,0
Freshwater,Ca. Blackallbacteria,CPR,0.00328631290038295,0
Freshwater,Ca. Wallbacteria,CPR,0.00143170639782064,0
Freshwater,Dictyoglomota,Bonafide,9.3016108432186e-4,0
Freshwater,Ca. Wildermuthbacteria,CPR,0.00149891110686862,0
Freshwater,Ca. Kuenenbacteria,CPR,0.003025497541403685,0
Freshwater,Ca. Amesbacteria,CPR,0.008078129949717405,0
Freshwater,Ca. Lokiarchaeota,CPR,0.00271594242046813,0
Freshwater,Ca. Vogelbacteria,CPR,0.00148374801769269,0
Freshwater,Ca. Bipolaricaulota,CPR,0.00340323111717322,0
Freshwater,Ca. Raymondbacteria,CPR,0.002164828702387215,0
Freshwater,Ca. Woykebacteria,CPR,0.00124194488601323,3.021096258825614e-4
Freshwater,Ca. Ryanbacteria,CPR,0.0020078264711903,0
Freshwater,Ca. Adlerbacteria,CPR,0.00862965735941057,0
Freshwater,Ca. Margulisbacteria,CPR,0.00172859576433448,0
Freshwater,Ca. Azambacteria,CPR,0.00738938200884381,0
Freshwater,Ca. Campbellbacteria,CPR,0.005242436729854253,0.0010332942727640263
Freshwater,Ca. Firestonebacteria,CPR,0.00411997755998783,0
Freshwater,Ca. Heimdallarchaeota,CPR,0.002890546556442605,8.976397768834188e-4
Freshwater,Ca. Beckwithbacteria,CPR,0.00703651190281873,0
Freshwater,Ca. Dadabacteria,CPR,0.004156273185580331,0.0013649967559934948
Freshwater,Ca. Harrisonbacteria,CPR,0.0032563373986235476,8.799675744666903e-4
Freshwater,Ca. Liptonbacteria,CPR,0.00294873650779137,0
Freshwater,Ca. Jorgensenbacteria,CPR,0.003301983159790745,0
Freshwater,Ca. Collierbacteria,CPR,0.00543706475350003,0
Freshwater,Ca. Kerfeldbacteria,CPR,0.0032337192197138803,0
Freshwater,Chrysiogenota,Bonafide,0.00141973229578196,0
Freshwater,Ca. Komeilibacteria,CPR,0.00310994046468188,0
Freshwater,Ca. Yonathbacteria,CPR,0.00119796043986664,0
Freshwater,Ca. Riflebacteria,CPR,0.00214415438025561,0
Freshwater,Ca. Absconditabacteria,CPR,0.00951530511040655,0
Freshwater,Ca. Sungbacteria,CPR,0.00184746651012946,0
Freshwater,Ca. Portnoybacteria,CPR,0.002254312752780595,0
Freshwater,Ca. Thorarchaeota,CPR,0.00176082466811478,0
Freshwater,Ca. Giovannonibacteria,CPR,0.00390419934743691,0
Freshwater,Ca. Desantisbacteria,CPR,0.004721445090992315,0
Freshwater,Ca. Edwardsbacteria,CPR,0.004516738582942495,0
Freshwater,Ca. Lloydbacteria,CPR,0.002139681456545305,0
Freshwater,Ca. Shapirobacteria,CPR,0.0019648684451728502,0
Freshwater,Ca. Pacebacteria,CPR,0.0020654787128781276,6.48720553116189e-4
Freshwater,Ca. Lindowbacteria,CPR,0.001164863623686505,1.416210426935164e-4
Freshwater,Ca. Curtissbacteria,CPR,0.004641396642625,0.0013602262777009108
Freshwater,Ca. Wolfebacteria,CPR,0.001365862315739375,0
Freshwater,Ca. Coatesbacteria,CPR,0.00518899858084354,0
Freshwater,Ca. Doudnabacteria,CPR,0.004538797043968315,0
Freshwater,Ca. Schekmanbacteria,CPR,0.0017782697029920824,5.665922895638002e-4
Freshwater,Ca. Zambryskibacteria,CPR,0.00131063668547543,0
Freshwater,Ca. Berkelbacteria,CPR,0.006345855077681567,0.0015903001510807016
Freshwater,Calditrichota,Bonafide,0.0237152212491242,0
Freshwater,Ca. Staskawiczbacteria,CPR,0.0017357920945061675,5.339606057084836e-4
Freshwater,Ca. Glassbacteria,CPR,0.0038860802106405754,0
Freshwater,Ca. Bathyarchaeota,CPR,0.00691154275252537,0
Freshwater,Ca. Woesearchaeota,DPANN,0.00142051986495989,0
Freshwater,Ca. Buchananbacteria,CPR,0.00576251565216002,0
Freshwater,Ca. Thermoplasmatota,CPR,8.742332668441e-4,0
Freshwater,Aquificota,Bonafide,0.07145457979119264,0.025677625832348012
Freshwater,Ca. Taylorbacteria,CPR,0.00146133109661617,0
Freshwater,Ca. Yanofskybacteria,CPR,0.00134603729665589,0
Freshwater,Ca. Tectomicrobia,CPR,8.2829417435925e-4,8.093516845885228e-5
Freshwater,Ca. Nealsonbacteria,CPR,0.0022461518073909875,6.16174772250698e-4
Freshwater,Ca. division Zixibacteria,CPR,0.0108551365743997,0
Freshwater,Ca. Daviesbacteria,CPR,0.00410916090306601,0
Freshwater,Ca. Gottesmanbacteria,CPR,0.0038578355066605802,0
Freshwater,Ca. Melainabacteria,CPR,0.00222720458132164,0
Freshwater,Ca. division WWE3,CPR,0.011608956856623925,0.0012150479736461267
Freshwater,Ca. Levybacteria,CPR,0.0027218339159444122,7.656228485037112e-4
Freshwater,Kiritimatiellota,Bonafide,7.680368992810099e-4,6.169070345747929e-4
Freshwater,Ca. Micrarchaeota,DPANN,0.00262445265365907,0
Freshwater,Ca. Handelsmanbacteria,CPR,0.00126634464413056,0
Freshwater,Nitrospinota,Bonafide,8.0662993162977e-4,0
Freshwater,Ca. Moranbacteria,CPR,0.00249761859727726,0
Freshwater,Ca. Woesebacteria,CPR,0.001157484308965285,0
Freshwater,Ca. Roizmanbacteria,CPR,0.0019045316556213477,5.824655455741239e-4
Freshwater,Ca. Falkowbacteria,CPR,0.00415373622533821,0
Freshwater,Ca. Eisenbacteria,CPR,0.00233869766297537,6.154461831867255e-4
Freshwater,Ca. Marinimicrobia,CPR,0.00169661558975764,0
Freshwater,Ca. Uhrbacteria,CPR,0.00167848708893842,0
Freshwater,Ca. Nomurabacteria,CPR,0.0024444206522034597,0
Freshwater,Coprothermobacterota,Bonafide,7.8572590670522e-4,0
Freshwater,Ca. Kaiserbacteria,CPR,0.002758360584694448,0.0013934141745265585
Freshwater,Fibrobacterota,Bonafide,5.8418621693101e-4,0
Freshwater,Ca. Magasanikbacteria,CPR,0.00284980189247952,0
Freshwater,Ca. Peregrinibacteria,CPR,0.0022667080814687797,0
Freshwater,Ca. division NC10,CPR,0.012996510557089967,0.0015560865334715123
Freshwater,Chlamydiota,Bonafide,9.973821749597e-4,0
Freshwater,Atribacterota,Bonafide,0.05502754599956175,0.004802018754139118
Freshwater,Thermoproteota,Bonafide,2.7039968362951e-4,0
Freshwater,Chlorobiota,Bonafide,9.69048611546505e-4,6.672032619305625e-4
Freshwater,Ca. Cloacimonetes,CPR,0.00329507781976413,0
Freshwater,Armatimonadota,Bonafide,0.059817523078943044,0.009832914451490805
Freshwater,Lentisphaerota,Bonafide,7.4448687927292e-4,5.946816631731801e-4
Freshwater,Bdellovibrionota,Bonafide,0.0275181280928568,0
Freshwater,Ca. Saccharibacteria,CPR,8.3145134969198e-4,0
Freshwater,Ca. Aminicenantes,CPR,0.00610117829774781,0.0019073020825192278
Freshwater,Deferribacterota,Bonafide,6.5383218255743e-4,0
Freshwater,Ignavibacteriota,Bonafide,9.5735507021155e-4,3.7815956718010213e-4
Freshwater,Ca. Omnitrophica,CPR,0.0019454398976889698,0.0010243456790603748
Freshwater,Synergistota,Bonafide,2.8946318694761e-4,1.5939814599398488e-4
Freshwater,Elusimicrobiota,Bonafide,6.61633387183885e-4,0
Freshwater,Mycoplasmatota,Bonafide,6.741158447191001e-4,2.0433411445614747e-4
Freshwater,Ca. Rokubacteria,CPR,0.001110927393698165,3.911557553145936e-4
Freshwater,Gemmatimonadota,Bonafide,6.54873866471945e-4,2.2747032075650647e-4
Freshwater,Deinococcota,Bonafide,4.4359594836895e-4,0
Freshwater,Nitrososphaerota,Bonafide,9.4391755192269e-4,0
Freshwater,Nitrospirota,Bonafide,4.96448349696305e-4,2.114366193096292e-4
Freshwater,Thermotogota,Bonafide,2.9896891171554e-4,0
Freshwater,Fusobacteriota,Bonafide,3.7765260218702e-4,0
Freshwater,Spirochaetota,Bonafide,2.76546147631115e-4,1.395950513988974e-4
Freshwater,Chloroflexota,Bonafide,7.202060700101767e-4,2.4412848987497203e-4
Freshwater,Verrucomicrobiota,Bonafide,1.94659784037474e-4,9.596370812557622e-5
Freshwater,Campylobacterota,Bonafide,0.0189217237039085,0.002358797628222677
Freshwater,Myxococcota,Bonafide,5.893798877928626e-4,2.1336428685749038e-4
Freshwater,Acidobacteriota,Bonafide,0.132882539881632,0.03520461240949926
Freshwater,Euryarchaeota,Bonafide,7.366633055285667e-4,1.4500610445407035e-4
Freshwater,Planctomycetota,Bonafide,4.70590792170925e-4,1.4474000815091763e-4
Freshwater,Thermodesulfobacteriota,Bonafide,5.77309501803565e-4,0
Freshwater,Cyanobacteriota,Bonafide,9.4315846408898e-4,0
Freshwater,Bacteroidota,Bonafide,0.0300078538431407,8.989770548035501e-4
Freshwater,Bacillota,Bonafide,0.033295019932187364,0.003710233174779516
Freshwater,Actinomycetota,Bonafide,0.106810848287749,0
Freshwater,Pseudomonadota,Bonafide,3.0583232780001e-4,1.4828838112730127e-4
Groundwater,Ca. Veblenbacteria,CPR,0.0015137754045656962,1.625608489587639e-4
Groundwater,Ca. Huberarchaea,DPANN,0.003322081918519405,2.768445556498567e-4
Groundwater,Ca. Brennerbacteria,CPR,0.005950212105946193,6.257150642404536e-4
Groundwater,Ca. Aenigmarchaeota,DPANN,0.008338956038927495,7.965412037888024e-4
Groundwater,Ca. Jacksonbacteria,CPR,0.0032550214479329927,2.719320410222683e-4
Groundwater,Ca. Altiarchaeota,DPANN,0.00807793680425706,0
Groundwater,Ca. division CPR1,CPR,0.014838723294770288,0.0018727440805586752
Groundwater,Ca. division CPR3,CPR,0.0128047659874036,0.001461373895902046
Groundwater,Ca. Microgenomates,CPR,0.002573262592114405,2.0526130287814944e-4
Groundwater,Ca. division WOR-3,CPR,0.0119720985551598,0
Groundwater,Ca. Abawacabacteria,CPR,0.0078570213357726,0
Groundwater,Ca. division CPR2,CPR,0.01342425238896624,0.0018650013365676674
Groundwater,Nanoarchaeota,DPANN,6.985783627920184e-4,9.102605650009554e-5
Groundwater,Ca. Ratteibacteria,CPR,0.0021096518440057725,2.5250013490943644e-4
Groundwater,Ca. Gribaldobacteria,CPR,0.003512708972641441,3.38036303037698e-4
Groundwater,Ca. Hydrogenedentes,CPR,0.00327936393637271,2.765810451449265e-4
Groundwater,Ca. Tagabacteria,CPR,0.0016928338653208212,2.0953035426862337e-4
Groundwater,Ca. Niyogibacteria,CPR,0.002360663368314641,2.4688203629359e-4
Groundwater,Ca. Blackburnbacteria,CPR,0.006158665812072571,6.735002084483544e-4
Groundwater,Ca. Delongbacteria,CPR,0.00461805927965936,3.8646130567144264e-4
