taxon,microgroup
candidate division CPR1,CPR
candidate division CPR2,CPR
candidate division CPR3,CPR
candidate division NC10,CPR
candidate division Zixibacteria,CPR
candidate division WOR 3,CPR
candidate division WWE3,CPR
Candidatus Abawacabacteria,CPR
Candidatus Absconditabacteria,CPR
Candidatus Adlerbacteria,CPR
Candidatus Altiarchaeota,DPANN
Candidatus Amesbacteria,CPR
Candidatus Aminicenantes,CPR
Candidatus Andersenbacteria,CPR
Candidatus Azambacteria,CPR
Candidatus Bathyarchaeota,CPR
Candidatus Beckwithbacteria,CPR
Candidatus Berkelbacteria,CPR
Candidatus Bipolaricaulota,CPR
Candidatus Blackallbacteria,CPR
Candidatus Blackburnbacteria,CPR
Candidatus Brennerbacteria,CPR
Candidatus Buchananbacteria,CPR
Candidatus Calescamantes,CPR
Candidatus Campbellbacteria,CPR
Candidatus Chisholmbacteria,CPR
Candidatus Cloacimonetes,CPR
Candidatus Coatesbacteria,CPR
Candidatus Collierbacteria,CPR
Candidatus Colwellbacteria,CPR
Candidatus Curtissbacteria,CPR
Candidatus Dadabacteria,CPR
Candidatus Daviesbacteria,CPR
Candidatus Delongbacteria,CPR
Candidatus Desantisbacteria,CPR
Candidatus Doudnabacteria,CPR
Candidatus Edwardsbacteria,CPR
Candidatus Eisenbacteria,CPR
Candidatus Falkowbacteria,CPR
Candidatus Firestonebacteria,CPR
Candidatus Fischerbacteria,CPR
Candidatus Fraserbacteria,CPR
Candidatus Giovannonibacteria,CPR
Candidatus Glassbacteria,CPR
Candidatus Gottesmanbacteria,CPR
Candidatus Gracilibacteria,CPR
Candidatus Handelsmanbacteria,CPR
Candidatus Harrisonbacteria,CPR
Candidatus Heimdallarchaeota,CPR
Candidatus Jacksonbacteria,CPR
Candidatus Jorgensenbacteria,CPR
Candidatus Kaiserbacteria,CPR
Candidatus Kerfeldbacteria,CPR
Candidatus Komeilibacteria,CPR
Candidatus Kuenenbacteria,CPR
Candidatus Levybacteria,CPR
Candidatus Lindowbacteria,CPR
Candidatus Liptonbacteria,CPR
Candidatus Lloydbacteria,CPR
Candidatus Magasanikbacteria,CPR
Candidatus Margulisbacteria,CPR
Candidatus Marinimicrobia,CPR
Candidatus Melainabacteria,CPR
Candidatus Moranbacteria,CPR
Candidatus Nealsonbacteria,CPR
Candidatus Niyogibacteria,CPR
Candidatus Nomurabacteria,CPR
Candidatus Omnitrophica,CPR
Candidatus Pacebacteria,CPR
Candidatus Parcubacteria,CPR
Candidatus Peregrinibacteria,CPR
Candidatus Poribacteria,CPR
Candidatus Ratteibacteria,CPR
Candidatus Portnoybacteria,CPR
Candidatus Raymondbacteria,CPR
Candidatus Riflebacteria,CPR
Candidatus Roizmanbacteria,CPR
Candidatus Rokubacteria,CPR
Candidatus Ryanbacteria,CPR
Candidatus Saccharibacteria,CPR
Candidatus Schekmanbacteria,CPR
Candidatus Shapirobacteria,CPR
Candidatus Spechtbacteria,CPR
Candidatus Staskawiczbacteria,CPR
Candidatus Sungbacteria,CPR
Candidatus Tagabacteria,CPR
Candidatus Taylorbacteria,CPR
Candidatus Tectomicrobia,CPR
Candidatus Terrybacteria,CPR
Candidatus Thermoplasmatota,CPR
Candidatus Thorarchaeota,CPR
Candidatus Uhrbacteria,CPR
Candidatus Veblenbacteria,CPR
Candidatus Vogelbacteria,CPR
Candidatus Wallbacteria,CPR
Candidatus Wildermuthbacteria,CPR
Candidatus Wirthbacteria,CPR
Candidatus Woesebacteria,CPR
Candidatus Wolfebacteria,CPR
Candidatus Woykebacteria,CPR
Candidatus Yanofskybacteria,CPR
Candidatus Yonathbacteria,CPR
Candidatus Zambryskibacteria,CPR
Candidatus Woesearchaeota,DPANN
Candidatus Pacearchaeota,DPANN
Candidatus Micrarchaeota,DPANN
Candidatus Diapherotrites,DPANN
Candidatus Aenigmarchaeota,DPANN
Nanoarchaeota,DPANN
Candidatus Parvarchaeota,DPANN
Candidatus Gribaldobacteria,CPR
Candidatus Lokiarchaeota,CPR
Candidatus Sumerlaeota,CPR
Candidatus Hydrogenedentes,CPR
Candidatus Huberarchaea,DPANN
Candidatus Microgenomates,CPR
Candidatus Odinarchaeota,CPR
Candidatus Nanohaloarchaeota,DPANN
Candidatus Korarchaeota,CPR
candidate division WOR-3,CPR
